DP,DPNOM,MPIO,DPMP,ANNO,AreaGeografica,Poblacion
05,Antioquia,05021,Alejandría,2021,Centros Poblados y Rural Disperso,"2,070"
05,Antioquia,05021,Alejandría,2021,Total,"4,845"
05,Antioquia,05021,Alejandría,2022,Cabecera Municipal,"2,830"
05,Antioquia,05021,Alejandría,2022,Centros Poblados y Rural Disperso,"2,044"
05,Antioquia,05021,Alejandría,2022,Total,"4,874"
05,Antioquia,05021,Alejandría,2023,Cabecera Municipal,"2,886"
05,Antioquia,05021,Alejandría,2023,Centros Poblados y Rural Disperso,"2,026"
05,Antioquia,05021,Alejandría,2023,Total,"4,912"
05,Antioquia,05021,Alejandría,2024,Cabecera Municipal,"2,932"
05,Antioquia,05021,Alejandría,2024,Centros Poblados y Rural Disperso,"2,023"
05,Antioquia,05021,Alejandría,2024,Total,"4,955"
05,Antioquia,05021,Alejandría,2025,Cabecera Municipal,"2,960"
05,Antioquia,05021,Alejandría,2025,Centros Poblados y Rural Disperso,"2,029"
05,Antioquia,05021,Alejandría,2025,Total,"4,989"
05,Antioquia,05021,Alejandría,2026,Cabecera Municipal,"2,995"
05,Antioquia,05021,Alejandría,2026,Centros Poblados y Rural Disperso,"2,020"
05,Antioquia,05021,Alejandría,2026,Total,"5,015"
05,Antioquia,05021,Alejandría,2027,Cabecera Municipal,"3,034"
05,Antioquia,05021,Alejandría,2027,Centros Poblados y Rural Disperso,"2,013"
05,Antioquia,05021,Alejandría,2027,Total,"5,047"
05,Antioquia,05021,Alejandría,2028,Cabecera Municipal,"3,045"
05,Antioquia,05021,Alejandría,2028,Centros Poblados y Rural Disperso,"2,029"
05,Antioquia,05021,Alejandría,2028,Total,"5,074"
05,Antioquia,05021,Alejandría,2029,Cabecera Municipal,"3,066"
05,Antioquia,05021,Alejandría,2029,Centros Poblados y Rural Disperso,"2,032"
05,Antioquia,05021,Alejandría,2029,Total,"5,098"
05,Antioquia,05021,Alejandría,2030,Cabecera Municipal,"3,079"
05,Antioquia,05021,Alejandría,2030,Centros Poblados y Rural Disperso,"2,031"
05,Antioquia,05021,Alejandría,2030,Total,"5,110"
05,Antioquia,05021,Alejandría,2031,Cabecera Municipal,"3,100"
05,Antioquia,05021,Alejandría,2031,Centros Poblados y Rural Disperso,"2,036"
05,Antioquia,05021,Alejandría,2031,Total,"5,136"
05,Antioquia,05021,Alejandría,2032,Cabecera Municipal,"3,121"
05,Antioquia,05021,Alejandría,2032,Centros Poblados y Rural Disperso,"2,061"
05,Antioquia,05021,Alejandría,2032,Total,"5,182"
05,Antioquia,05021,Alejandría,2033,Cabecera Municipal,"3,121"
05,Antioquia,05021,Alejandría,2033,Centros Poblados y Rural Disperso,"2,065"
05,Antioquia,05021,Alejandría,2033,Total,"5,186"
05,Antioquia,05021,Alejandría,2034,Cabecera Municipal,"3,139"
05,Antioquia,05021,Alejandría,2034,Centros Poblados y Rural Disperso,"2,079"
05,Antioquia,05021,Alejandría,2034,Total,"5,218"
05,Antioquia,05021,Alejandría,2035,Cabecera Municipal,"3,144"
05,Antioquia,05021,Alejandría,2035,Centros Poblados y Rural Disperso,"2,096"
05,Antioquia,05021,Alejandría,2035,Total,"5,240"
05,Antioquia,05030,Amagá,2020,Cabecera Municipal,"15,233"
05,Antioquia,05030,Amagá,2020,Centros Poblados y Rural Disperso,"16,029"
05,Antioquia,05030,Amagá,2020,Total,"31,262"
05,Antioquia,05030,Amagá,2021,Cabecera Municipal,"15,807"
05,Antioquia,05030,Amagá,2021,Centros Poblados y Rural Disperso,"15,741"
05,Antioquia,05030,Amagá,2021,Total,"31,548"
05,Antioquia,05030,Amagá,2022,Cabecera Municipal,"16,246"
05,Antioquia,05030,Amagá,2022,Centros Poblados y Rural Disperso,"15,605"
05,Antioquia,05030,Amagá,2022,Total,"31,851"
05,Antioquia,05030,Amagá,2023,Cabecera Municipal,"16,636"
05,Antioquia,05030,Amagá,2023,Centros Poblados y Rural Disperso,"15,506"
05,Antioquia,05030,Amagá,2023,Total,"32,142"
05,Antioquia,05030,Amagá,2024,Cabecera Municipal,"16,924"
05,Antioquia,05030,Amagá,2024,Centros Poblados y Rural Disperso,"15,488"
05,Antioquia,05030,Amagá,2024,Total,"32,412"
05,Antioquia,05030,Amagá,2025,Cabecera Municipal,"17,156"
05,Antioquia,05030,Amagá,2025,Centros Poblados y Rural Disperso,"15,472"
05,Antioquia,05030,Amagá,2025,Total,"32,628"
05,Antioquia,05030,Amagá,2026,Cabecera Municipal,"17,358"
05,Antioquia,05030,Amagá,2026,Centros Poblados y Rural Disperso,"15,463"
05,Antioquia,05030,Amagá,2026,Total,"32,821"
05,Antioquia,05030,Amagá,2027,Cabecera Municipal,"17,515"
05,Antioquia,05030,Amagá,2027,Centros Poblados y Rural Disperso,"15,491"
05,Antioquia,05030,Amagá,2027,Total,"33,006"
05,Antioquia,05030,Amagá,2028,Cabecera Municipal,"17,667"
05,Antioquia,05030,Amagá,2028,Centros Poblados y Rural Disperso,"15,509"
05,Antioquia,05030,Amagá,2028,Total,"33,176"
05,Antioquia,05030,Amagá,2029,Cabecera Municipal,"17,791"
05,Antioquia,05030,Amagá,2029,Centros Poblados y Rural Disperso,"15,561"
05,Antioquia,05030,Amagá,2029,Total,"33,352"
05,Antioquia,05030,Amagá,2030,Cabecera Municipal,"17,870"
05,Antioquia,05030,Amagá,2030,Centros Poblados y Rural Disperso,"15,629"
05,Antioquia,05030,Amagá,2030,Total,"33,499"
05,Antioquia,05030,Amagá,2031,Cabecera Municipal,"17,939"
05,Antioquia,05030,Amagá,2031,Centros Poblados y Rural Disperso,"15,722"
05,Antioquia,05030,Amagá,2031,Total,"33,661"
05,Antioquia,05030,Amagá,2032,Cabecera Municipal,"17,987"
05,Antioquia,05030,Amagá,2032,Centros Poblados y Rural Disperso,"15,794"
05,Antioquia,05030,Amagá,2032,Total,"33,781"
05,Antioquia,05030,Amagá,2033,Cabecera Municipal,"18,043"
05,Antioquia,05030,Amagá,2033,Centros Poblados y Rural Disperso,"15,903"
05,Antioquia,05030,Amagá,2033,Total,"33,946"
05,Antioquia,05030,Amagá,2034,Cabecera Municipal,"18,101"
05,Antioquia,05030,Amagá,2034,Centros Poblados y Rural Disperso,"15,963"
05,Antioquia,05030,Amagá,2034,Total,"34,064"
05,Antioquia,05030,Amagá,2035,Cabecera Municipal,"18,163"
05,Antioquia,05030,Amagá,2035,Centros Poblados y Rural Disperso,"16,030"
05,Antioquia,05030,Amagá,2035,Total,"34,193"
05,Antioquia,05031,Amalfi,2020,Cabecera Municipal,"15,492"
05,Antioquia,05031,Amalfi,2020,Centros Poblados y Rural Disperso,"11,384"
05,Antioquia,05031,Amalfi,2020,Total,"26,876"
05,Antioquia,05031,Amalfi,2021,Cabecera Municipal,"15,951"
05,Antioquia,05031,Amalfi,2021,Centros Poblados y Rural Disperso,"11,204"
05,Antioquia,05031,Amalfi,2021,Total,"27,155"
05,Antioquia,05031,Amalfi,2022,Cabecera Municipal,"16,303"
05,Antioquia,05031,Amalfi,2022,Centros Poblados y Rural Disperso,"11,095"
05,Antioquia,05031,Amalfi,2022,Total,"27,398"
05,Antioquia,05031,Amalfi,2023,Cabecera Municipal,"16,624"
05,Antioquia,05031,Amalfi,2023,Centros Poblados y Rural Disperso,"11,013"
05,Antioquia,05031,Amalfi,2023,Total,"27,637"
05,Antioquia,05031,Amalfi,2024,Cabecera Municipal,"16,865"
05,Antioquia,05031,Amalfi,2024,Centros Poblados y Rural Disperso,"10,981"
05,Antioquia,05031,Amalfi,2024,Total,"27,846"
05,Antioquia,05031,Amalfi,2025,Cabecera Municipal,"17,098"
05,Antioquia,05031,Amalfi,2025,Centros Poblados y Rural Disperso,"10,961"
05,Antioquia,05031,Amalfi,2025,Total,"28,059"
05,Antioquia,05031,Amalfi,2026,Cabecera Municipal,"17,276"
05,Antioquia,05031,Amalfi,2026,Centros Poblados y Rural Disperso,"10,951"
05,Antioquia,05031,Amalfi,2026,Total,"28,227"
05,Antioquia,05031,Amalfi,2027,Cabecera Municipal,"17,432"
05,Antioquia,05031,Amalfi,2027,Centros Poblados y Rural Disperso,"10,940"
05,Antioquia,05031,Amalfi,2027,Total,"28,372"
05,Antioquia,05031,Amalfi,2028,Cabecera Municipal,"17,564"
05,Antioquia,05031,Amalfi,2028,Centros Poblados y Rural Disperso,"10,973"
05,Antioquia,05031,Amalfi,2028,Total,"28,537"
05,Antioquia,05031,Amalfi,2029,Cabecera Municipal,"17,655"
05,Antioquia,05031,Amalfi,2029,Centros Poblados y Rural Disperso,"11,005"
05,Antioquia,05031,Amalfi,2029,Total,"28,660"
05,Antioquia,05031,Amalfi,2030,Cabecera Municipal,"17,750"
05,Antioquia,05031,Amalfi,2030,Centros Poblados y Rural Disperso,"11,065"
05,Antioquia,05031,Amalfi,2030,Total,"28,815"
05,Antioquia,05031,Amalfi,2031,Cabecera Municipal,"17,819"
05,Antioquia,05031,Amalfi,2031,Centros Poblados y Rural Disperso,"11,117"
05,Antioquia,05031,Amalfi,2031,Total,"28,936"
05,Antioquia,05031,Amalfi,2032,Cabecera Municipal,"17,883"
05,Antioquia,05031,Amalfi,2032,Centros Poblados y Rural Disperso,"11,172"
05,Antioquia,05031,Amalfi,2032,Total,"29,055"
05,Antioquia,05031,Amalfi,2033,Cabecera Municipal,"17,948"
05,Antioquia,05031,Amalfi,2033,Centros Poblados y Rural Disperso,"11,214"
05,Antioquia,05031,Amalfi,2033,Total,"29,162"
05,Antioquia,05031,Amalfi,2034,Cabecera Municipal,"18,015"
05,Antioquia,05031,Amalfi,2034,Centros Poblados y Rural Disperso,"11,269"
05,Antioquia,05031,Amalfi,2034,Total,"29,284"
05,Antioquia,05031,Amalfi,2035,Cabecera Municipal,"18,048"
05,Antioquia,05031,Amalfi,2035,Centros Poblados y Rural Disperso,"11,329"
05,Antioquia,05031,Amalfi,2035,Total,"29,377"
05,Antioquia,05034,Andes,2020,Cabecera Municipal,"21,657"
05,Antioquia,05034,Andes,2020,Centros Poblados y Rural Disperso,"22,957"
05,Antioquia,05034,Andes,2020,Total,"44,614"
05,Antioquia,05034,Andes,2021,Cabecera Municipal,"22,444"
05,Antioquia,05034,Andes,2021,Centros Poblados y Rural Disperso,"22,539"
05,Antioquia,05034,Andes,2021,Total,"44,983"
05,Antioquia,05034,Andes,2022,Cabecera Municipal,"23,070"
05,Antioquia,05034,Andes,2022,Centros Poblados y Rural Disperso,"22,324"
05,Antioquia,05034,Andes,2022,Total,"45,394"
05,Antioquia,05034,Andes,2023,Cabecera Municipal,"23,621"
05,Antioquia,05034,Andes,2023,Centros Poblados y Rural Disperso,"22,175"
05,Antioquia,05034,Andes,2023,Total,"45,796"
05,Antioquia,05034,Andes,2024,Cabecera Municipal,"24,037"
05,Antioquia,05034,Andes,2024,Centros Poblados y Rural Disperso,"22,146"
05,Antioquia,05034,Andes,2024,Total,"46,183"
05,Antioquia,05034,Andes,2025,Cabecera Municipal,"24,343"
05,Antioquia,05034,Andes,2025,Centros Poblados y Rural Disperso,"22,142"
05,Antioquia,05034,Andes,2025,Total,"46,485"
05,Antioquia,05034,Andes,2026,Cabecera Municipal,"24,651"
05,Antioquia,05034,Andes,2026,Centros Poblados y Rural Disperso,"22,132"
05,Antioquia,05034,Andes,2026,Total,"46,783"
05,Antioquia,05034,Andes,2027,Cabecera Municipal,"24,890"
05,Antioquia,05034,Andes,2027,Centros Poblados y Rural Disperso,"22,163"
05,Antioquia,05034,Andes,2027,Total,"47,053"
05,Antioquia,05034,Andes,2028,Cabecera Municipal,"25,094"
05,Antioquia,05034,Andes,2028,Centros Poblados y Rural Disperso,"22,204"
05,Antioquia,05034,Andes,2028,Total,"47,298"
05,Antioquia,05034,Andes,2029,Cabecera Municipal,"25,262"
05,Antioquia,05034,Andes,2029,Centros Poblados y Rural Disperso,"22,276"
05,Antioquia,05034,Andes,2029,Total,"47,538"
05,Antioquia,05034,Andes,2030,Cabecera Municipal,"25,387"
05,Antioquia,05034,Andes,2030,Centros Poblados y Rural Disperso,"22,377"
05,Antioquia,05034,Andes,2030,Total,"47,764"
05,Antioquia,05034,Andes,2031,Cabecera Municipal,"25,482"
05,Antioquia,05034,Andes,2031,Centros Poblados y Rural Disperso,"22,498"
05,Antioquia,05034,Andes,2031,Total,"47,980"
05,Antioquia,05034,Andes,2032,Cabecera Municipal,"25,593"
05,Antioquia,05034,Andes,2032,Centros Poblados y Rural Disperso,"22,608"
05,Antioquia,05034,Andes,2032,Total,"48,201"
05,Antioquia,05034,Andes,2033,Cabecera Municipal,"25,672"
05,Antioquia,05034,Andes,2033,Centros Poblados y Rural Disperso,"22,729"
05,Antioquia,05034,Andes,2033,Total,"48,401"
05,Antioquia,05034,Andes,2034,Cabecera Municipal,"25,754"
05,Antioquia,05034,Andes,2034,Centros Poblados y Rural Disperso,"22,835"
05,Antioquia,05034,Andes,2034,Total,"48,589"
05,Antioquia,05034,Andes,2035,Cabecera Municipal,"25,829"
05,Antioquia,05034,Andes,2035,Centros Poblados y Rural Disperso,"22,949"
05,Antioquia,05034,Andes,2035,Total,"48,778"
05,Antioquia,05036,Angelópolis,2020,Cabecera Municipal,"2,364"
05,Antioquia,05036,Angelópolis,2020,Centros Poblados y Rural Disperso,"3,541"
05,Antioquia,05036,Angelópolis,2020,Total,"5,905"
05,Antioquia,05036,Angelópolis,2021,Cabecera Municipal,"2,477"
05,Antioquia,05036,Angelópolis,2021,Centros Poblados y Rural Disperso,"3,486"
05,Antioquia,05036,Angelópolis,2021,Total,"5,963"
05,Antioquia,05036,Angelópolis,2022,Cabecera Municipal,"2,554"
05,Antioquia,05036,Angelópolis,2022,Centros Poblados y Rural Disperso,"3,456"
05,Antioquia,05036,Angelópolis,2022,Total,"6,010"
05,Antioquia,05036,Angelópolis,2023,Cabecera Municipal,"2,640"
05,Antioquia,05036,Angelópolis,2023,Centros Poblados y Rural Disperso,"3,442"
05,Antioquia,05036,Angelópolis,2023,Total,"6,082"
05,Antioquia,05036,Angelópolis,2024,Cabecera Municipal,"2,675"
05,Antioquia,05036,Angelópolis,2024,Centros Poblados y Rural Disperso,"3,434"
05,Antioquia,05036,Angelópolis,2024,Total,"6,109"
05,Antioquia,05036,Angelópolis,2025,Cabecera Municipal,"2,738"
05,Antioquia,05036,Angelópolis,2025,Centros Poblados y Rural Disperso,"3,445"
05,Antioquia,05036,Angelópolis,2025,Total,"6,183"
05,Antioquia,05036,Angelópolis,2026,Cabecera Municipal,"2,761"
05,Antioquia,05036,Angelópolis,2026,Centros Poblados y Rural Disperso,"3,443"
05,Antioquia,05036,Angelópolis,2026,Total,"6,204"
05,Antioquia,05036,Angelópolis,2027,Cabecera Municipal,"2,791"
05,Antioquia,05036,Angelópolis,2027,Centros Poblados y Rural Disperso,"3,454"
05,Antioquia,05036,Angelópolis,2027,Total,"6,245"
05,Antioquia,05036,Angelópolis,2028,Cabecera Municipal,"2,824"
05,Antioquia,05036,Angelópolis,2028,Centros Poblados y Rural Disperso,"3,452"
05,Antioquia,05036,Angelópolis,2028,Total,"6,276"
05,Antioquia,05036,Angelópolis,2029,Cabecera Municipal,"2,835"
05,Antioquia,05036,Angelópolis,2029,Centros Poblados y Rural Disperso,"3,469"
05,Antioquia,05036,Angelópolis,2029,Total,"6,304"
05,Antioquia,05036,Angelópolis,2030,Cabecera Municipal,"2,855"
05,Antioquia,05036,Angelópolis,2030,Centros Poblados y Rural Disperso,"3,476"
05,Antioquia,05036,Angelópolis,2030,Total,"6,331"
05,Antioquia,05036,Angelópolis,2031,Cabecera Municipal,"2,869"
05,Antioquia,05036,Angelópolis,2031,Centros Poblados y Rural Disperso,"3,506"
05,Antioquia,05036,Angelópolis,2031,Total,"6,375"
05,Antioquia,05036,Angelópolis,2032,Cabecera Municipal,"2,885"
05,Antioquia,05036,Angelópolis,2032,Centros Poblados y Rural Disperso,"3,527"
05,Antioquia,05036,Angelópolis,2032,Total,"6,412"
05,Antioquia,05036,Angelópolis,2033,Cabecera Municipal,"2,893"
05,Antioquia,05036,Angelópolis,2033,Centros Poblados y Rural Disperso,"3,532"
05,Antioquia,05036,Angelópolis,2033,Total,"6,425"
05,Antioquia,05036,Angelópolis,2034,Cabecera Municipal,"2,883"
05,Antioquia,05036,Angelópolis,2034,Centros Poblados y Rural Disperso,"3,553"
05,Antioquia,05036,Angelópolis,2034,Total,"6,436"
05,Antioquia,05036,Angelópolis,2035,Cabecera Municipal,"2,887"
05,Antioquia,05036,Angelópolis,2035,Centros Poblados y Rural Disperso,"3,577"
05,Antioquia,05036,Angelópolis,2035,Total,"6,464"
05,Antioquia,05038,Angostura,2020,Cabecera Municipal,"2,700"
05,Antioquia,05038,Angostura,2020,Centros Poblados y Rural Disperso,"9,042"
05,Antioquia,05038,Angostura,2020,Total,"11,742"
05,Antioquia,05038,Angostura,2021,Cabecera Municipal,"2,953"
05,Antioquia,05038,Angostura,2021,Centros Poblados y Rural Disperso,"8,830"
05,Antioquia,05038,Angostura,2021,Total,"11,783"
